t0,n,m,k,h,eX,eVar,eTime,tU,tVar,tDiff,tTime,nU,nVar,nDiff,nTime
1707132787.9323769,91,1313,10,4,8.21072E-14,4.98257E-16,0.0005083084106445312,8.35539E-14,4.90843E-16,0.02,1.0013580322265625e-05,1.79583E-12,2.05159E-14,20.87,2.384185791015625e-06
1707132787.9727178,92,1327,10,4,8.35061E-14,1.39889E-15,0.0005011558532714844,8.49613E-14,1.40740E-15,0.02,1.049041748046875e-05,1.81497E-12,1.91482E-14,20.73,2.1457672119140625e-06
1707132788.012656,93,1342,10,4,8.40040E-14,4.97864E-16,0.000514984130859375,8.54519E-14,4.90597E-16,0.02,1.0728836059570312e-05,1.83549E-12,2.05159E-14,20.85,2.1457672119140625e-06
1707132788.0545278,94,1356,10,4,8.54033E-14,1.39932E-15,0.0005197525024414062,8.68596E-14,1.40765E-15,0.02,1.0013580322265625e-05,1.85464E-12,1.91482E-14,20.72,2.384185791015625e-06
1707132788.0954394,95,1371,10,4,8.59008E-14,4.97488E-16,0.0005369186401367188,8.73499E-14,4.90361E-16,0.02,1.0013580322265625e-05,1.87515E-12,2.05159E-14,20.83,2.1457672119140625e-06
1707132788.1387007,96,1385,10,4,8.73005E-14,1.39974E-15,0.0005414485931396484,8.87578E-14,1.40789E-15,0.02,1.0251998901367188e-05,1.89430E-12,1.91482E-14,20.7,2.1457672119140625e-06
1707132788.1806197,97,1399,10,4,8.87031E-14,1.40261E-15,0.0005486011505126953,9.01684E-14,1.41063E-15,0.02,1.0251998901367188e-05,1.91345E-12,1.91482E-14,20.57,2.384185791015625e-06
1707132788.2232533,98,1414,10,4,8.91978E-14,4.94658E-16,0.0005612373352050781,9.06560E-14,4.87617E-16,0.02,1.0251998901367188e-05,1.93397E-12,2.05159E-14,20.68,2.384185791015625e-06
1707132788.2677824,99,1428,10,4,9.06007E-14,1.40294E-15,0.0005667209625244141,9.20668E-14,1.41080E-15,0.02,1.049041748046875e-05,1.95311E-12,1.91482E-14,20.56,2.1457672119140625e-06
1707132788.312494,100,1443,10,4,9.10951E-14,4.94359E-16,0.0005824565887451172,9.25543E-14,4.87451E-16,0.02,1.0013580322265625e-05,1.97363E-12,2.05159E-14,20.67,2.1457672119140625e-06
1707132788.3585608,101,1457,10,4,9.24983E-14,1.40326E-15,0.0005857944488525391,9.39653E-14,1.41096E-15,0.02,1.0728836059570312e-05,1.99278E-12,1.91482E-14,20.54,2.1457672119140625e-06
1707132788.403688,102,1472,10,4,9.29924E-14,4.94071E-16,0.0005939006805419922,9.44526E-14,4.87290E-16,0.02,1.049041748046875e-05,2.01329E-12,2.05159E-14,20.65,2.384185791015625e-06
1707132788.4510205,103,1486,10,4,9.43960E-14,1.40357E-15,0.0006093978881835938,9.58637E-14,1.41112E-15,0.02,1.0013580322265625e-05,2.03244E-12,1.91482E-14,20.53,2.384185791015625e-06
1707132788.49852,104,1500,10,4,9.58021E-14,1.40618E-15,0.0006186962127685547,9.72773E-14,1.41363E-15,0.02,1.0728836059570312e-05,2.05159E-12,1.91482E-14,20.41,1.9073486328125e-06
1707132788.546166,105,1515,10,4,9.62936E-14,4.91470E-16,0.0006330013275146484,9.77621E-14,4.84771E-16,0.02,1.0251998901367188e-05,2.07211E-12,2.05159E-14,20.52,2.1457672119140625e-06
1707132788.5957415,106,1529,10,4,9.77000E-14,1.40642E-15,0.0006494522094726562,9.91758E-14,1.41373E-15,0.02,1.0728836059570312e-05,2.09125E-12,1.91482E-14,20.4,2.1457672119140625e-06
1707132788.646487,107,1544,10,4,9.81913E-14,4.91246E-16,0.0006520748138427734,9.96605E-14,4.84668E-16,0.01,1.0728836059570312e-05,2.11177E-12,2.05159E-14,20.51,2.1457672119140625e-06
1707132788.6970768,108,1558,10,4,9.95979E-14,1.40666E-15,0.0006542205810546875,1.01074E-13,1.41383E-15,0.01,1.0728836059570312e-05,2.13092E-12,1.91482E-14,20.4,2.1457672119140625e-06
1707132788.7497606,109,1573,10,4,1.00089E-13,4.91030E-16,0.0006749629974365234,1.01559E-13,4.84568E-16,0.01,1.0967254638671875e-05,2.15143E-12,2.05159E-14,20.5,2.1457672119140625e-06
1707132788.801781,110,1587,10,4,1.01496E-13,1.40688E-15,0.0006847381591796875,1.02973E-13,1.41392E-15,0.01,1.0728836059570312e-05,2.17058E-12,1.91482E-14,20.39,2.384185791015625e-06
1707132788.85367,111,1601,10,4,1.02905E-13,1.40929E-15,0.0006997585296630859,1.04389E-13,1.41624E-15,0.01,1.1205673217773438e-05,2.18973E-12,1.91482E-14,20.28,2.384185791015625e-06
1707132788.9079015,112,1616,10,4,1.03394E-13,4.88628E-16,0.0006988048553466797,1.04871E-13,4.82242E-16,0.01,1.049041748046875e-05,2.21025E-12,2.05159E-14,20.38,2.6226043701171875e-06
1707132788.963628,113,1630,10,4,1.04803E-13,1.40946E-15,0.0007143020629882812,1.06288E-13,1.41629E-15,0.01,1.0967254638671875e-05,2.22939E-12,1.91482E-14,20.27,2.1457672119140625e-06
1707132789.01967,114,1645,10,4,1.05292E-13,4.88465E-16,0.0007240772247314453,1.06770E-13,4.82189E-16,0.01,1.1205673217773438e-05,2.24991E-12,2.05159E-14,20.37,2.1457672119140625e-06
1707132789.07587,115,1659,10,4,1.06701E-13,1.40962E-15,0.0007350444793701172,1.08186E-13,1.41633E-15,0.01,1.1205673217773438e-05,2.26906E-12,1.91482E-14,20.27,2.384185791015625e-06
1707132789.1312156,116,1674,10,4,1.07190E-13,4.88307E-16,0.0007371902465820312,1.08668E-13,4.82138E-16,0.01,1.0728836059570312e-05,2.28957E-12,2.05159E-14,20.36,2.384185791015625e-06
1707132789.1887646,117,1688,10,4,1.08599E-13,1.40978E-15,0.0007560253143310547,1.10085E-13,1.41637E-15,0.01,1.0728836059570312e-05,2.30872E-12,1.91482E-14,20.26,2.1457672119140625e-06
1707132789.2471192,118,1702,10,4,1.10011E-13,1.41201E-15,0.0007824897766113281,1.11503E-13,1.41852E-15,0.01,1.1444091796875e-05,2.32787E-12,1.91482E-14,20.16,2.384185791015625e-06
1707132789.3084545,119,1717,10,4,1.10497E-13,4.86078E-16,0.0007748603820800781,1.11983E-13,4.79981E-16,0.01,1.0728836059570312e-05,2.34839E-12,2.05159E-14,20.25,2.6226043701171875e-06
1707132789.3691764,120,1731,10,4,1.11910E-13,1.41212E-15,0.0007879734039306641,1.13402E-13,1.41853E-15,0.01,1.1205673217773438e-05,2.36754E-12,1.91482E-14,20.16,2.384185791015625e-06
1707132789.4280324,121,1746,10,4,1.12396E-13,4.85965E-16,0.0008018016815185547,1.13882E-13,4.79969E-16,0.01,1.1444091796875e-05,2.38805E-12,2.05159E-14,20.25,2.384185791015625e-06
1707132789.491108,122,1760,10,4,1.13808E-13,1.41223E-15,0.0008106231689453125,1.15300E-13,1.41853E-15,0.01,1.1920928955078125e-05,2.40720E-12,1.91482E-14,20.15,2.86102294921875e-06
1707132789.5520678,123,1775,10,4,1.14294E-13,4.85857E-16,0.0008211135864257812,1.15780E-13,4.79957E-16,0.01,1.1444091796875e-05,2.42772E-12,2.05159E-14,20.24,2.6226043701171875e-06
1707132789.6172314,124,1789,10,4,1.15706E-13,1.41234E-15,0.0008289813995361328,1.17199E-13,1.41854E-15,0.01,1.1682510375976562e-05,2.44686E-12,1.91482E-14,20.15,2.6226043701171875e-06
1707132789.680679,125,1803,10,4,1.17120E-13,1.41441E-15,0.0008497238159179688,1.18619E-13,1.42054E-15,0.01,1.1444091796875e-05,2.46601E-12,1.91482E-14,20.06,2.384185791015625e-06
1707132789.7479773,126,1818,10,4,1.17604E-13,4.83779E-16,0.0008599758148193359,1.19097E-13,4.77947E-16,0.01,1.2636184692382812e-05,2.48653E-12,2.05159E-14,20.14,8.821487426757812e-06
1707132789.8151479,127,1832,10,4,1.19019E-13,1.41448E-15,0.0008699893951416016,1.20518E-13,1.42051E-15,0.01,1.1444091796875e-05,2.50568E-12,1.91482E-14,20.05,2.384185791015625e-06
1707132789.8833098,128,1847,10,4,1.19502E-13,4.83708E-16,0.0008833408355712891,1.20996E-13,4.77968E-16,0.01,1.3113021850585938e-05,2.52619E-12,2.05159E-14,20.14,2.6226043701171875e-06
1707132789.952806,129,1861,10,4,1.20917E-13,1.41455E-15,0.0008957386016845703,1.22416E-13,1.42049E-15,0.01,1.239776611328125e-05,2.54534E-12,1.91482E-14,20.05,2.6226043701171875e-06
1707132790.0239248,130,1876,10,4,1.21401E-13,4.83639E-16,0.000934600830078125,1.22894E-13,4.77988E-16,0.01,1.3113021850585938e-05,2.56586E-12,2.05159E-14,20.14,2.6226043701171875e-06
